Region	Lat	Long
Adzharia	41.6643	42.090599
Akmolinsk	51.373	68.426003
Altai	52.915699	84.504898
Amur	53.372749	127.533943
Amur-Bureya	51.131286	135.526221
Armenia	40.287201	44.9277
Central Yakutia	62.023699	128.902279
Chimkent	42.254	70.873
Dzhungarsky Alatau	45.4149	80.640999
East Balkhash	46.5428	79.87
East Pamir	37.930915	73.660777
Gissar	39.0833333	68.8669444
Guriev	47.329367	54.44059
Kabarda	43.38	43.393902
Kamchatka	54.7193049449	158.716444301
Khabarovsk	48.500815449	135.249453971
Khasan	42.694898	130.862975
Kostroma	58.229401	43.394402
Krasnojarsk	57.5499	97.3216667
Kurgan	55.446602	64.805901
Kursk	51.732498	36.271599
Kustanai	52.8539	64.6791
Middle Ural	56.8	63.366667
Mongolia-Central Khangay	47.1092	99.11
Mongolia-NorthWestern Khangay	48.1417	96.33
Moscow	55.1986	37.769299
Moyyunkum	44.2698	70.98
Nakhichevan	39.699491	45.123027
North Russian Far East	66.9253	161.207618
North Kyrgyzstan	42.4573	74.79
Novosibirsk	55.3035	79.766998
Pavlodar	52.1397	76.45
Poland	50.039501	19.4107
Pre-Polar Ural	65.431503	59.884701
Scotland	55.36664	-4.383714
Selenga	52.1647	106.53
Slovakia	48.7966	20.453899
Southwestern Azerbajan	39.7663	47.02
Sweden	59.0174	16.947201
Syugaty	43.446244	78.868749
Taimyr	69.798599	85.581703
Tarbagatai	47.1883	83.11
Terskey-Alatau	42.7331952261	79.4212322292
Tomsk-Tumen	59.831902	74.493698
Trans-Ili Alatau	43.0760248878	76.9954738801
Turkmenistan	39.075041	57.090314
Tyva	52.1494856942	93.9223698125
Ural Valley	51.315899	52.352798
Ussury	46.879207	134.219706
Volga-Kama	55.335899	51.669102
Western Sayan	53.868198	94.215698
